Date,Open,High,Low,Close,Adj Close,Volume
2022-04-04,19999.000000,20555.000000,19998.949219,20418.250000,19704.501953,4761
2022-04-05,20418.250000,21638.000000,20418.250000,21284.750000,20540.712891,6074
2022-04-06,21300.000000,21700.000000,21100.099609,21522.000000,20769.669922,3534
2022-04-07,21555.000000,21555.000000,20920.000000,21104.400391,20366.667969,2781
2022-04-08,21222.000000,21490.000000,21060.000000,21440.699219,20691.210938,1338
2022-04-11,21303.000000,21550.000000,21299.349609,21493.949219,20742.599609,2125
2022-04-12,21400.000000,21443.000000,21050.000000,21378.400391,20631.089844,1948
2022-04-13,21232.000000,21400.000000,21200.000000,21339.949219,20593.982422,1099
2022-04-18,21300.000000,21800.000000,20729.849609,21598.750000,20843.736328,3299
2022-04-19,21699.900391,21800.000000,21010.000000,21257.900391,20514.802734,4248
2022-04-20,21380.000000,21398.699219,20700.199219,20813.599609,20086.033203,1922
2022-04-21,20767.000000,21398.000000,20767.000000,21209.599609,20468.189453,1384
2022-04-22,21001.000000,21324.150391,20211.550781,20481.349609,19765.396484,4562
2022-04-25,20740.000000,20740.000000,20000.000000,20165.000000,19460.105469,2509
2022-04-26,20388.000000,20449.949219,19950.000000,20008.599609,19309.171875,1700
2022-04-27,20100.000000,20100.000000,19939.599609,19968.599609,19270.570313,1072
2022-04-28,20090.000000,20344.000000,19900.000000,20016.949219,19317.230469,1111
2022-04-29,20190.000000,20250.000000,19831.000000,19964.550781,19266.664063,1191
2022-05-02,19806.599609,20101.000000,19600.000000,19831.099609,19137.876953,5191
2022-05-04,19950.000000,19950.000000,18810.250000,19150.300781,18480.876953,4062
2022-05-05,19370.000000,19443.949219,18505.000000,18545.900391,17897.603516,3516
2022-05-06,18550.000000,18599.949219,18100.000000,18449.949219,17805.005859,5955
2022-05-09,18540.000000,18979.000000,17954.949219,18735.750000,18080.816406,4659
2022-05-10,18945.000000,18945.000000,18099.949219,18106.349609,17473.417969,5618
2022-05-11,18111.000000,18338.000000,17650.000000,17778.599609,17157.125000,5971
2022-05-12,17760.000000,18349.750000,17680.000000,17980.250000,17351.726563,5251
2022-05-13,18113.699219,18500.000000,17862.699219,17988.849609,17360.025391,2254
2022-05-16,18149.000000,18149.000000,17900.199219,17975.099609,17346.755859,845
2022-05-17,18150.000000,19300.000000,17788.800781,18641.449219,17989.812500,3629
2022-05-18,18880.000000,18880.000000,18340.199219,18520.949219,17873.525391,4142
2022-05-19,18250.000000,18250.000000,17940.000000,18000.449219,17371.218750,1974
2022-05-20,18380.000000,18380.000000,17950.000000,17995.949219,17366.876953,1854
2022-05-23,18235.000000,18235.000000,17950.000000,17988.400391,17359.591797,1332
2022-05-24,17988.400391,18106.949219,17950.000000,17983.449219,17354.814453,1615
2022-05-25,18119.000000,18119.000000,17880.000000,17926.599609,17299.951172,1844
2022-05-26,17995.000000,18003.099609,17410.000000,17457.699219,16847.441406,11420
2022-05-27,17690.000000,17799.000000,17273.000000,17563.449219,16949.496094,5984
2022-05-30,19800.000000,20899.000000,19052.000000,19475.050781,18794.273438,59624
2022-05-31,19200.000000,20494.849609,19090.550781,20193.800781,19487.900391,15248
2022-06-01,20200.000000,21450.000000,20200.000000,21213.800781,20472.244141,12117
2022-06-02,21350.000000,21609.000000,20916.050781,21357.949219,20611.353516,5538
2022-06-03,21600.000000,21786.000000,20771.349609,21290.400391,20546.166016,6906
2022-06-06,21000.000000,21190.000000,20620.000000,20811.949219,20084.439453,3660
2022-06-07,20769.000000,21325.000000,20502.150391,21187.349609,20446.716797,4068
2022-06-08,21143.000000,21358.400391,20725.449219,20801.699219,20074.548828,2208
2022-06-09,20908.599609,20960.000000,20611.000000,20672.500000,19949.865234,1177
2022-06-10,20611.000000,20699.000000,20356.550781,20484.750000,19768.677734,1037
2022-06-13,20424.000000,20424.000000,19800.000000,20337.250000,19626.333984,5259
2022-06-14,20062.000000,20337.199219,19792.800781,19899.050781,19203.453125,1136
2022-06-15,20000.000000,20444.849609,19773.050781,20278.550781,19569.687500,2216
2022-06-16,20325.000000,20487.000000,19505.300781,19875.349609,19180.580078,1454
2022-06-17,19875.349609,20158.650391,19411.000000,19644.699219,18957.992188,8318
2022-06-20,19670.000000,20000.000000,19423.650391,19594.199219,18909.257813,5330
2022-06-21,19969.000000,20041.000000,19774.699219,19987.400391,19288.714844,33745
2022-06-22,19900.000000,19900.000000,19634.849609,19764.849609,19073.943359,54194
2022-06-23,19898.849609,20380.000000,19625.000000,20300.300781,19590.675781,3103
2022-06-24,20350.000000,20626.699219,20078.349609,20456.449219,19741.367188,22800
2022-06-27,20700.000000,20975.000000,20100.000000,20838.750000,20110.302734,20933
2022-06-28,20531.000000,22818.150391,20531.000000,22013.050781,21243.554688,5840
2022-06-29,22020.000000,22857.900391,22015.050781,22438.449219,21654.083984,12570
2022-06-30,22494.000000,22800.000000,21566.650391,21854.050781,21090.113281,5861
2022-07-01,21950.000000,21999.000000,21126.050781,21905.550781,21139.812500,4159
2022-07-04,21906.000000,22450.000000,21906.000000,22222.150391,21445.345703,3830
2022-07-05,22499.000000,22501.000000,22223.050781,22397.400391,21614.468750,2123
2022-07-06,22400.000000,22850.000000,22400.000000,22723.000000,21928.687500,2960
2022-07-07,22723.250000,22850.000000,22369.099609,22711.300781,21917.396484,5170
2022-07-08,22725.000000,23011.250000,22521.500000,22871.050781,22071.562500,3240
2022-07-11,22701.000000,23000.000000,22600.050781,22869.750000,22070.306641,1564
2022-07-12,22750.000000,23125.000000,22685.349609,22938.050781,22136.220703,1876
2022-07-13,22951.000000,23212.199219,22881.000000,22887.400391,22087.339844,2040
2022-07-14,23000.000000,23000.000000,22564.900391,22700.250000,21906.732422,1945
2022-07-15,22725.000000,22961.050781,21510.050781,21928.349609,21161.814453,7380
2022-07-18,22380.000000,22950.000000,22052.000000,22778.849609,21982.583984,2785
2022-07-19,22654.400391,23045.000000,22600.000000,22918.500000,22117.353516,1822
2022-07-20,23045.000000,23279.949219,22510.250000,22622.550781,21831.750000,2186
2022-07-21,22950.000000,23239.949219,22675.150391,23031.949219,22226.835938,1753
2022-07-22,23000.000000,23188.000000,22850.000000,22990.750000,22187.078125,1329
2022-07-25,22990.750000,23099.900391,22650.000000,22872.199219,22072.671875,1227
2022-07-26,22872.199219,23046.550781,22742.400391,22907.900391,22107.125000,812
2022-07-27,23080.000000,23600.000000,22050.550781,23218.800781,22407.156250,4112
2022-07-28,22993.250000,23449.250000,22801.150391,23120.250000,22312.050781,1851
2022-07-29,23125.000000,23400.000000,22700.000000,22742.800781,21947.794922,2889
2022-08-01,22752.000000,23080.000000,22500.000000,22922.099609,22120.826172,3445
2022-08-02,22980.000000,23083.349609,22505.550781,22771.449219,21975.443359,2684
2022-08-03,22890.000000,23015.550781,22504.449219,22790.099609,21993.441406,2103
2022-08-04,22890.000000,23549.000000,22523.250000,23464.849609,22644.603516,5146
2022-08-05,23500.000000,24100.000000,23110.000000,23702.250000,22873.707031,3603
2022-08-08,23702.250000,24100.000000,23135.000000,23726.050781,22896.675781,2383
2022-08-10,23799.000000,24098.849609,22523.050781,22750.300781,21955.033203,11537
2022-08-11,22950.000000,23385.000000,22511.300781,22726.800781,21932.355469,4099
2022-08-12,22799.000000,23000.000000,22241.500000,22470.050781,21684.580078,6132
2022-08-16,22500.000000,22699.949219,22222.000000,22401.849609,21618.763672,5387
2022-08-17,22500.000000,22500.000000,22050.000000,22380.949219,21598.593750,5170
2022-08-18,22350.000000,23300.000000,22200.000000,23257.400391,22444.406250,8464
2022-08-19,23450.000000,23450.000000,22710.050781,22856.449219,22057.470703,2660
2022-08-22,22856.449219,22987.900391,22300.000000,22361.500000,21579.824219,1356
2022-08-23,22400.000000,22500.000000,22300.000000,22374.349609,21592.224609,37109
2022-08-24,22501.000000,22751.000000,22208.349609,22369.599609,21587.640625,3526
2022-08-25,22700.000000,23000.000000,22484.250000,22855.750000,22056.796875,2575
2022-08-26,23000.000000,23250.000000,23000.000000,23086.500000,22279.480469,5702
2022-08-29,22001.000000,23399.000000,22000.050781,23221.699219,22409.953125,4317
2022-08-30,23255.000000,23499.000000,22930.849609,23314.349609,22499.365234,6298
2022-09-01,23489.000000,23510.099609,22811.000000,22907.400391,22106.642578,2172
2022-09-02,22999.000000,23440.000000,22813.699219,23076.750000,22270.072266,3087
2022-09-05,23229.000000,23386.500000,22900.000000,23244.849609,22432.294922,1739
2022-09-06,23250.099609,23337.650391,22920.000000,22985.199219,22181.720703,2045
2022-09-07,23069.000000,23100.000000,22600.099609,22780.599609,21984.273438,16167
2022-09-08,22825.000000,22990.000000,22601.000000,22739.500000,21944.611328,1659
2022-09-09,22999.949219,22999.949219,22656.550781,22839.949219,22041.548828,1150
2022-09-12,22839.949219,22925.000000,22725.050781,22806.150391,22008.931641,6215
2022-09-13,22949.949219,22949.949219,22650.000000,22802.150391,22005.070313,2061
2022-09-14,22796.000000,22835.000000,22556.949219,22811.150391,22013.755859,1179
2022-09-15,22875.000000,22976.750000,22550.150391,22873.449219,22073.876953,2483
2022-09-16,22628.000000,24357.000000,22628.000000,23938.099609,23101.310547,13621
2022-09-19,24200.000000,24200.000000,22940.000000,23441.900391,22622.457031,7648
2022-09-20,23550.000000,24331.750000,23449.199219,23919.550781,23083.410156,4895
2022-09-21,23900.000000,24114.949219,22900.000000,22986.650391,22183.121094,3352
